Longitud de onda (nm),% de transmisión T 80[1],% de transmisión T 80[2],% de transmisión T 80[3],% de transmisión T 120[1],% de transmisión T 120[2],% de transmisión T 120[3],% de transmisión T 240[1],% de transmisión T 240[2],% de transmisión T 240[3],% de transmisión T 320[1],% de transmisión T 320[2],% de transmisión T 320[3],% de transmisión T 400[1],% de transmisión T 400[2],% de transmisión T 400[3],% de transmisión T 600[1],% de transmisión T 600[2],% de transmisión T 600[3],% de transmisión T Null[1],% de transmisión T Null[2],% de transmisión T Null[3],% de transmisión D Null[1],% de transmisión D Null[2],% de transmisión D Null[3],% de transmisión D 80[1],% de transmisión D 80[2],% de transmisión D 80[3],% de transmisión D 120[1],% de transmisión D 120[2],% de transmisión D 120[3],% de transmisión D 240[1],% de transmisión D 240[2],% de transmisión D 240[3],% de transmisión D 320[1],% de transmisión D 320[2],% de transmisión D 400[1],% de transmisión D 400[2],% de transmisión D 600[1],% de transmisión D 600[2]
737,92.532457,89.298,89.289094,93.436293,93.174165,93.410120,93.767036,93.771938,93.961331,94.565532,94.654870,94.570087,93.458281,93.366817,93.686837,91.963437,91.772090,91.843277,93.206663,92.942751,93.353727,4.700365,4.768040,4.812727,65.967212,65.864626,65.923563,57.315170,57.466709,57.861905,52.856359,53.241259,53.241680,31.598644,31.711640,25.783267,25.654574,24.178735,24.304320
736,92.752611,89.447805,89.521139,93.691366,93.615069,93.513824,94.217726,94.016387,94.112712,94.947510,95.001338,94.821871,93.983731,93.797306,94.058008,92.213773,92.083076,92.172742,93.531667,93.394902,93.457732,4.427047,4.772469,4.982635,65.736384,65.748665,65.949933,57.505646,57.746872,57.684705,53.106657,52.917226,53.136248,31.582432,31.865026,25.632946,25.721160,24.572487,24.454986
735,92.819274,89.350568,89.380079,93.454204,93.728422,93.498587,94.098674,94.094417,94.048202,94.785946,94.724275,94.843726,93.909403,93.853375,93.938379,91.940312,92.037193,92.047395,93.559358,93.279248,93.353062,4.556322,4.551719,4.604849,66.009333,66.101911,65.996824,57.788712,57.730509,57.706485,53.297317,53.137734,53.440257,31.692011,31.642129,25.829862,26.111492,24.591905,24.336349
734,92.723788,89.222105,89.331023,93.533285,93.278797,93.452328,94.120525,93.962329,93.958700,94.775252,94.825173,94.831012,93.601725,93.591074,93.854332,91.830365,91.973921,91.969023,93.352835,93.435956,93.247098,4.562298,4.786673,4.656023,66.185618,66.019109,66.152861,57.511377,57.803700,57.638009,52.932159,53.246183,53.473683,31.674792,31.744521,26.100145,25.844836,24.420273,24.561844
733,92.66588,89.149316,89.280192,93.257687,93.543247,93.481037,93.920841,94.067500,93.796642,94.573672,94.754126,94.891795,93.734623,93.693859,93.802514,91.975364,91.985209,92.018780,93.502487,93.209972,93.261562,4.525391,4.846358,4.577556,65.996278,66.008408,65.991707,57.643387,57.726413,57.806142,53.063011,53.275426,53.099978,31.538501,31.649906,25.719969,25.854054,24.742323,24.697512
732,92.978633,89.299798,89.339519,93.388711,93.522059,93.590329,94.202898,94.190888,94.144754,94.844849,94.790500,94.909618,93.747640,93.800919,93.884406,91.940589,92.001091,91.966935,93.469939,93.368910,93.255782,4.530554,4.536910,4.600081,65.861346,65.751849,66.006604,57.549213,57.863471,57.725003,53.363901,53.152403,53.143740,31.702147,31.800801,25.762817,25.768084,24.298758,24.803811
731,92.79676,89.11548,89.13503,93.603208,93.428566,93.456926,93.878796,94.034042,94.036223,94.839108,94.700948,94.778322,93.862046,93.619688,93.894411,91.957861,92.078439,92.130099,93.522435,93.338345,93.369656,4.514215,4.647859,4.758270,65.799839,66.046943,66.096013,57.801856,57.622525,57.945201,53.164755,53.205973,53.075233,31.555779,31.653625,25.787446,25.817120,24.623712,24.474531
730,92.833073,89.197975,89.506472,93.548055,93.558676,93.647388,94.224031,94.013960,94.229011,94.797404,94.867428,94.889318,93.870052,93.908106,94.007732,92.129934,92.166548,92.226161,93.775066,93.627523,93.539098,4.598697,4.517100,4.783076,65.782952,65.866262,66.024003,57.594194,57.608131,57.614162,53.150956,53.095566,53.131721,31.496708,31.674949,25.700960,25.712856,24.356648,24.484439
729,92.946871,89.468486,89.519092,93.503041,93.633880,93.717934,94.167435,94.081417,94.210748,95.040663,94.912854,94.979430,94.027918,93.866308,93.799764,92.181975,92.185791,92.365757,93.721101,93.647488,93.599642,4.512639,4.584175,4.793401,65.749438,65.973083,65.992119,57.410349,57.605603,57.526167,53.367653,53.043146,52.995489,31.458143,31.295617,25.468558,25.676259,24.408448,24.445063
728,92.574885,89.277418,89.300742,93.559356,93.507560,93.330765,93.954097,93.975836,93.903801,94.640924,94.630037,94.680253,93.538043,93.687305,93.595652,91.933029,92.012045,91.895693,93.318686,93.188272,93.195974,4.619026,4.447321,4.755421,65.970718,65.950071,65.966831,57.744299,57.490630,57.714057,53.232395,53.194790,53.337444,31.683241,31.794552,25.820828,25.742695,24.468001,24.702290
727,92.827148,89.258267,89.426185,93.616694,93.612103,93.455361,94.119153,93.997076,94.193396,94.847582,94.806127,94.912496,93.887201,93.805762,94.019465,92.067777,92.072538,92.004922,93.530710,93.296367,93.426227,4.575487,4.758156,4.653579,66.120609,66.256776,66.088387,57.768493,57.903278,57.868883,53.465317,53.460381,53.232888,31.732078,31.860614,25.899999,25.852864,24.568805,24.746189
726,92.679291,89.085614,89.232713,93.476745,93.371015,93.638120,93.964690,94.018940,94.075009,94.634092,94.582526,94.743746,93.655520,93.701806,93.824223,92.157250,92.030081,91.907351,93.551386,93.454120,93.305167,4.339440,4.780493,4.744441,66.007407,66.040460,66.126095,57.755691,57.852409,57.848117,53.247186,53.265534,53.311114,31.822199,31.830245,25.816818,25.908720,24.457208,24.805827
725,92.734899,89.252923,89.362707,93.448111,93.690559,93.541384,94.003830,94.073063,94.293855,94.949020,94.732153,94.860586,93.959290,93.751015,93.825775,92.198332,92.194107,92.017474,93.698969,93.554163,93.460009,4.660733,4.422068,4.865614,65.982670,65.976315,66.140242,57.813659,58.036104,58.013878,53.693022,53.261598,53.356643,31.809105,32.006204,25.914494,26.036518,24.584484,24.403626
724,92.952284,89.156163,89.334219,93.620045,93.448755,93.700616,94.070493,94.170419,93.984597,94.887201,94.749437,94.792537,93.864976,93.934536,93.914828,92.161135,92.178194,92.205413,93.747953,93.536011,93.478791,4.598514,4.761589,4.444661,66.126855,66.127325,66.102792,57.894706,57.645860,57.905033,53.154866,53.422907,53.406936,31.659162,31.833742,25.960892,25.953954,24.557931,24.572374
723,92.683823,89.173067,89.244021,93.670274,93.533651,93.675306,94.135384,93.789089,94.002384,94.848378,94.802445,94.882221,93.838854,93.914048,94.021777,92.032636,92.161533,92.245636,93.562785,93.517715,93.517333,4.429127,4.731781,4.653976,65.987154,66.021917,65.904352,57.726125,57.828622,57.579316,53.358310,53.372199,53.421242,31.619296,32.138712,25.738061,25.949278,24.547112,24.580183
722,92.73313,89.16997,89.367423,93.554879,93.536803,93.488111,93.947727,94.088191,94.199409,94.726532,94.759851,94.932013,94.033513,94.027562,94.048960,92.209681,92.281190,92.186657,93.689434,93.612995,93.406873,4.769869,4.632202,4.752353,65.897636,66.028899,66.237655,57.569141,57.704618,57.803175,53.292549,53.196222,53.676763,31.803975,31.500258,25.963705,25.839540,24.870895,24.471828
721,92.792026,89.294359,89.241212,93.561583,93.649874,93.793237,94.187318,94.077559,94.242025,94.724558,94.717868,94.787852,93.926791,93.948453,93.997668,92.114691,92.125330,92.125037,93.836745,93.663606,93.519099,4.610750,4.377036,4.502037,65.840242,65.833854,66.100284,57.669441,57.722222,57.555765,53.265892,53.245850,53.227264,31.732656,31.574083,25.891859,25.716545,24.581020,24.789212
720,92.655332,89.082813,89.147984,93.645889,93.556729,93.579886,93.956226,93.930261,93.954285,94.651017,94.760873,94.678378,93.785606,93.779870,93.820812,92.037752,92.174164,92.159066,93.536510,93.453853,93.590530,4.669733,4.696788,4.589494,65.669365,65.975362,66.040988,57.484979,57.736128,57.538967,53.187183,53.251592,53.124936,31.529806,31.658886,25.614575,25.940124,24.528665,24.612625
719,92.560003,89.285276,89.176294,93.524631,93.583718,93.557294,93.998409,94.070884,94.073194,94.762966,94.708852,94.692128,93.905513,93.916887,93.839923,92.084204,92.185565,92.071135,93.776978,93.650368,93.537815,4.402980,4.573472,4.742357,65.872412,65.952180,65.944947,57.747015,57.904426,57.848511,53.351231,53.216300,53.360994,31.692471,31.815712,25.780732,25.945583,24.652147,24.847047
718,92.673087,89.011237,89.231542,93.543130,93.664625,93.610697,93.860020,93.825993,93.959879,94.807898,94.726609,94.728295,93.978916,93.879976,93.930205,92.095051,92.108903,92.095970,93.623367,93.526447,93.510037,4.541358,4.360686,4.318345,66.012125,65.956305,65.824218,57.840419,57.901461,57.918925,53.312914,53.286970,53.366150,31.561521,31.654682,25.869975,25.891932,24.598898,24.772216
717,92.844337,89.169719,89.260296,93.650913,93.615230,93.715591,94.121866,94.068365,94.053260,94.791163,94.621663,94.923085,94.092156,94.011631,94.032168,92.196022,92.163866,92.131328,93.757006,93.539631,93.603677,4.444086,4.518111,4.565827,66.034305,66.009520,66.026657,57.906927,57.710726,57.871717,53.305030,53.487654,53.358236,31.685719,31.660524,25.725680,25.898249,24.809805,24.702344
716,92.645875,89.08397,89.169546,93.534928,93.647993,93.623313,94.084723,94.061252,93.978735,94.729541,94.706898,94.746307,93.985639,94.106330,93.965296,92.049528,92.188561,92.163937,93.610899,93.572950,93.602651,4.721149,4.630017,4.524548,65.968807,66.289960,66.106038,57.753250,57.847247,57.857396,53.411260,53.471986,53.471425,31.603596,31.669946,25.835816,26.018711,24.636601,24.701582
715,92.499994,89.010149,89.040406,93.480311,93.685094,93.407760,94.000617,93.931475,94.124518,94.720025,94.812272,94.800291,93.761895,93.672920,93.729318,92.126268,92.107786,92.097949,93.645264,93.506484,93.645101,4.325592,4.589813,4.633813,66.133995,66.096723,66.234127,58.058465,57.998956,58.100971,53.443526,53.500895,53.479612,31.648983,31.638906,25.725314,25.887485,24.764563,24.744499
714,92.635514,89.166493,89.300614,93.600594,93.620930,93.521639,93.911706,94.029787,94.049274,94.770294,94.795549,94.892504,93.960099,94.102222,94.018439,92.199624,92.205274,92.114078,93.889734,93.732572,93.663168,4.496120,4.393546,4.469038,66.031415,66.023058,66.052303,57.866934,57.863260,57.875361,53.521527,53.442171,53.386146,31.461955,31.735438,25.757385,26.011359,24.771451,24.770235
713,92.528822,88.745324,89.240536,93.379531,93.535387,93.427889,93.954035,94.003924,93.810135,94.602057,94.733675,94.620603,93.902874,93.919244,93.915687,92.024500,92.047544,92.035468,93.651317,93.530642,93.486315,4.795392,4.519045,4.582521,65.811369,66.095374,66.006143,57.851943,57.880895,57.846874,53.470038,53.353408,53.486499,31.381151,31.634277,25.800189,26.062205,24.575830,24.715429
712,92.577447,88.842448,89.006854,93.444584,93.589478,93.377120,93.785599,93.835456,94.019022,94.695468,94.694046,94.713318,93.782865,93.774910,93.864465,92.120793,92.048636,92.049654,93.582345,93.611047,93.678096,4.332031,4.412727,4.630284,65.755250,66.054012,66.048075,57.659853,57.846741,57.717906,53.367016,53.362909,53.280889,31.582389,31.640427,25.651484,25.902185,24.702802,24.690809
711,92.662317,89.068847,89.162692,93.543549,93.510892,93.677593,94.130880,93.920363,94.125006,94.813298,94.879909,95.026448,93.881344,93.969275,94.194344,92.378118,92.297303,92.221495,93.783425,93.683663,93.871377,4.447509,4.346080,4.352673,65.949894,66.057171,65.982483,57.859615,57.798838,57.768547,53.194270,53.566365,53.432360,31.283439,31.659650,25.818464,25.997578,24.725733,24.793947
710,92.691701,89.035506,89.121143,93.754847,93.708795,93.719967,94.076258,94.094442,94.048024,94.841219,94.804884,94.998492,93.981281,94.099751,94.156645,92.182021,92.272585,92.199023,93.874524,93.777354,93.793527,4.672495,4.772773,4.393387,65.981795,66.089585,66.143508,57.763213,57.889305,57.719511,53.236293,53.494571,53.240774,31.481686,31.707821,25.648938,25.710235,24.676973,24.902212
709,92.732196,89.129091,89.10784,93.718097,93.727678,93.627609,94.091383,93.992649,94.078319,94.839623,94.906125,94.910290,94.071946,93.859745,94.091775,92.344602,92.266415,92.316776,93.984765,93.764716,93.761507,4.648240,4.587063,4.668356,65.960253,66.055452,66.161207,57.895361,57.837272,57.847322,53.512040,53.434131,53.514821,31.488000,31.661949,26.027488,25.673830,24.875734,24.802086
708,92.662907,89.040909,89.201298,93.638144,93.722900,93.871152,93.914650,93.916126,94.076677,94.753596,94.754853,94.824784,93.956618,93.986181,94.135590,92.194234,92.247571,92.339813,93.939347,93.802467,93.730805,4.454102,4.381133,4.548500,66.151972,66.075128,66.301169,57.908865,57.930352,57.970680,53.470831,53.624962,53.445357,31.674704,31.690127,25.882490,25.985860,24.856024,24.854905
707,92.466461,88.822493,88.971825,93.563598,93.501685,93.549719,93.900818,93.897695,93.879516,94.553512,94.536777,94.684038,93.823132,93.868470,93.986665,91.964585,92.160117,92.072847,93.835756,93.529595,93.542867,4.484008,4.573082,4.545691,66.106070,66.228863,66.245724,57.881000,58.150923,57.900987,53.551170,53.576956,53.536830,31.635385,31.900296,25.871767,26.110643,24.968793,24.857116
706,92.499799,88.965227,89.050912,93.481168,93.487223,93.661027,93.897928,93.866488,93.854336,94.774778,94.634513,94.795365,93.734926,93.976681,94.024424,92.120096,92.166034,92.189863,93.790543,93.740376,93.730728,4.433520,4.466471,4.634586,66.087391,66.107173,66.245949,57.853652,57.849572,57.891340,53.525327,53.401082,53.589091,31.683041,31.621996,25.895772,25.900907,24.602901,24.652260
705,92.419333,88.96758,88.897469,93.296907,93.468950,93.564469,93.907594,93.848280,93.951454,94.531377,94.606484,94.662218,93.837917,93.879601,94.000157,92.085411,92.107943,92.112908,93.934776,93.753292,93.627159,4.416217,4.363452,4.302095,66.170611,66.184159,66.196708,57.912535,57.893988,58.042665,53.303667,53.519933,53.573711,31.657320,31.702031,25.911592,26.118359,24.917058,24.875913
704,92.486982,88.994573,89.097334,93.620606,93.586712,93.657033,93.946041,93.870493,93.856973,94.689152,94.634852,94.728172,94.054611,93.858475,93.892033,92.116583,92.135332,92.125305,93.828535,93.646106,93.618221,4.277892,4.538530,4.249959,65.850787,65.958303,66.143523,57.809320,57.858643,57.777213,53.348510,53.304219,53.349289,31.517261,31.654232,25.862650,26.141663,24.765314,24.828614
703,92.451976,88.896107,89.014105,93.528893,93.544064,93.526715,93.847241,93.844784,93.715122,94.531864,94.619245,94.600324,93.862570,93.877289,93.914299,92.124467,92.051469,92.198081,93.717927,93.678175,93.596358,4.366553,4.502374,4.522313,65.967151,66.209464,66.117130,57.817881,57.879290,57.914034,53.567813,53.375784,53.460637,31.599629,31.504762,25.749392,25.937091,24.724477,24.760654
702,92.417649,88.871431,88.905695,93.390232,93.489435,93.463492,93.681253,93.700834,93.703393,94.496869,94.386580,94.461018,93.668826,93.710210,93.901142,92.018637,92.012928,92.068415,93.701608,93.513849,93.618383,4.264791,4.426619,4.513599,65.933116,66.036731,66.101465,57.876003,57.913291,57.960965,53.343733,53.386589,53.453950,31.676696,31.530119,25.786384,25.805079,24.783928,24.884680
701,92.490708,88.893862,89.012072,93.613590,93.654823,93.634930,93.886305,93.906620,93.888038,94.659518,94.608113,94.740984,93.929532,93.915581,94.024145,92.207157,92.206429,92.255765,93.917856,93.748517,93.751882,4.459396,4.554331,4.403279,66.121900,66.116412,66.168784,57.918558,57.981455,58.007518,53.482285,53.486228,53.430578,31.446465,31.640965,25.835063,25.899609,24.906416,24.934144
700,92.509411,88.816012,88.92765,93.648019,93.588042,93.571337,93.822868,93.821836,93.893394,94.637969,94.641506,94.643851,93.905005,93.912998,93.989201,92.041716,92.100166,92.088557,93.783243,93.561715,93.560309,4.437717,4.518355,4.518316,66.223698,66.261833,66.168910,58.001589,57.987027,57.974844,53.539586,53.655695,53.635306,31.608772,31.846012,25.910367,25.914409,25.003220,24.986077
699,92.440694,88.891429,89.084287,93.685082,93.595208,93.719381,93.943654,94.014097,93.928001,94.724981,94.722949,94.817330,94.076990,94.003967,94.080570,92.292488,92.264198,92.233744,93.836544,93.799278,93.757079,4.488585,4.468083,4.543488,66.119522,66.200925,66.293415,57.957120,58.078534,57.968383,53.649914,53.703251,53.606400,31.701487,31.533899,25.928888,25.858437,25.007428,24.981053
698,92.404453,88.806131,88.879232,93.552311,93.710476,93.675789,93.910432,93.885515,94.057722,94.740321,94.731474,94.730693,94.081498,93.941050,94.068161,92.316266,92.199940,92.230481,94.072433,93.692939,93.777985,4.352626,4.405351,4.462630,66.266543,66.157377,66.273638,58.163824,58.219808,58.150831,53.663565,53.725355,53.681122,31.712695,31.882726,25.881398,25.906959,25.050182,25.002269
697,92.378307,88.790014,88.906516,93.612508,93.584040,93.604011,93.793084,93.760168,93.925115,94.628686,94.495388,94.599138,94.064238,93.922538,94.018238,92.136910,92.231590,92.184215,93.790279,93.692333,93.713541,4.498359,4.427964,4.418794,66.091565,66.045153,66.051496,57.832910,58.017458,58.011292,53.587368,53.550485,53.663388,31.433172,31.622059,25.846662,25.888234,24.870071,24.848885
696,92.450345,88.59426,88.753561,93.492062,93.431244,93.534502,93.655381,93.750907,93.665330,94.634326,94.576038,94.682270,93.952480,93.881437,93.901518,92.131978,92.211014,92.177249,93.966410,93.780747,93.764982,4.542650,4.369610,4.497118,66.032738,66.079002,66.294781,57.831328,58.084706,58.111212,53.641418,53.567248,53.616230,31.490595,31.562974,25.726558,25.754007,24.896771,24.968681
695,92.384315,88.754071,88.894555,93.641869,93.646351,93.511403,93.871925,93.898670,93.880205,94.628776,94.549455,94.743023,93.929275,93.984475,94.023340,92.182387,92.156077,92.199365,94.041624,93.776528,93.817467,4.333948,4.130492,4.487026,66.050825,66.156392,66.164442,58.081033,57.945383,58.016103,53.549747,53.667155,53.429009,31.498053,31.658836,25.939980,25.867134,24.866306,24.929159
694,92.38264,88.732774,88.780317,93.588831,93.545926,93.581480,93.816359,93.827891,93.754276,94.743804,94.545623,94.776515,93.924451,94.045592,94.097287,92.227568,92.229379,92.230248,93.881796,93.773754,93.795734,4.497991,4.490524,4.348262,66.110841,66.111433,66.047075,57.835211,58.053627,57.974327,53.506003,53.586172,53.513209,31.554267,31.592384,25.659101,25.879637,24.873103,24.792126
693,92.360852,88.690899,88.883573,93.580535,93.696623,93.560063,93.894846,93.915658,93.765398,94.644120,94.725735,94.780668,94.087806,93.950036,94.186796,92.195788,92.353272,92.295555,93.887640,93.795016,93.892142,4.353117,4.377929,4.439348,65.887762,66.145258,66.052977,57.906345,58.005592,57.927623,53.424398,53.442561,53.537165,31.500662,31.479878,25.626883,25.814782,24.785410,24.858073
692,92.36413,88.739349,88.6943,93.518948,93.611146,93.597024,93.789490,93.797398,93.758817,94.600657,94.629172,94.740623,94.001924,93.949857,94.066688,92.275868,92.220721,92.216851,94.053653,93.823178,93.813316,4.292645,4.430951,4.424138,66.052218,66.112915,66.055062,57.975164,57.978045,58.022778,53.503090,53.587920,53.539189,31.339289,31.335643,25.776829,25.823008,25.001151,24.735336
691,92.24375,88.486443,88.654378,93.489020,93.479450,93.542229,93.712886,93.735122,93.628301,94.470716,94.328725,94.596791,93.904276,93.894782,93.962915,92.116585,92.123549,92.086800,93.867408,93.696800,93.686362,4.331661,4.426336,4.490301,66.018602,66.059281,66.112620,57.891909,57.954071,57.799601,53.504732,53.527610,53.524641,31.213327,31.511288,25.699950,25.822395,24.851639,24.882071
690,92.257808,88.66992,88.647741,93.502001,93.548094,93.556493,93.743935,93.738501,93.881664,94.570926,94.609713,94.738540,93.991382,93.979307,93.995715,92.091589,92.189349,92.228011,93.895578,93.826776,93.815282,4.376322,4.525173,4.519877,66.029742,65.986627,66.218795,57.840714,57.974682,57.977845,53.640192,53.647707,53.562456,31.389430,31.360051,25.748886,25.720235,24.871390,24.945878
689,92.395874,88.651083,88.689131,93.545945,93.482989,93.518833,93.764158,93.722565,93.899549,94.559490,94.593985,94.638250,94.013418,93.925379,94.100925,92.204761,92.145171,92.154658,93.975470,93.824437,93.799822,4.287598,4.350554,4.420714,65.944036,66.203195,66.180075,57.917459,58.100453,58.006328,53.588524,53.529504,53.703859,31.531620,31.472054,25.924644,25.759270,24.955423,24.855355
688,92.337463,88.555121,88.730536,93.547567,93.623987,93.487435,93.708255,93.674359,93.810244,94.525695,94.489722,94.687350,93.818266,93.868250,93.969359,92.058848,92.222340,92.160795,93.916296,93.700626,93.639731,4.308367,4.433499,4.552341,66.111882,66.208674,66.209121,57.979123,57.998345,58.143436,53.574474,53.755598,53.640982,31.350657,31.527204,25.792086,25.859604,25.041069,25.063301
687,92.232312,88.571536,88.692072,93.611275,93.571590,93.531697,93.713521,93.727423,93.780553,94.584697,94.589930,94.614896,93.985487,93.956412,94.100848,92.208899,92.203052,92.214234,93.952737,93.917671,93.781915,4.417183,4.329277,4.489858,66.148828,66.271166,66.233219,58.145923,58.146763,58.167293,53.763251,53.671557,53.755296,31.414123,31.504972,25.662448,25.810405,25.050870,25.031839
686,92.349845,88.542711,88.627493,93.596581,93.582837,93.546541,93.782071,93.832390,93.814612,94.703968,94.584336,94.726618,94.038700,94.030445,94.163085,92.328244,92.304272,92.298756,94.033655,93.911328,93.904901,4.123264,4.508617,4.438309,66.028264,66.086084,66.103122,57.995547,57.955410,57.944251,53.540319,53.555729,53.534399,31.403737,31.409724,25.601070,25.820822,24.841418,24.898774
685,92.206143,88.55593,88.612192,93.531976,93.574726,93.494419,93.739531,93.730048,93.720537,94.508687,94.517193,94.620476,93.945566,93.984231,94.053557,92.188101,92.216232,92.111067,94.016555,93.783144,93.866802,4.323402,4.244345,4.364122,66.047298,66.135189,66.101305,57.938683,57.904756,58.001456,53.582110,53.598689,53.600839,31.357860,31.440330,25.707697,25.841622,24.929849,24.885757
